temp,RH,WS,RF,FFMC,DMC,DC,ISI,month,fire
8.2,51,6.7,0,86.2,26.2,94.3,5.1,3,0
18,33,0.9,0,90.6,35.4,669.1,6.7,10,0
14.6,33,1.3,0,90.6,43.7,686.9,6.7,10,0
8.3,97,4,0.2,91.7,33.3,77.5,9,3,0
11.4,99,1.8,0,89.3,51.3,102.2,9.6,3,0
22.2,29,5.4,0,92.3,85.3,488,14.7,8,0
24.1,27,3.1,0,92.3,88.9,495.6,8.5,8,0
8,86,2.2,0,91.5,145.4,608.2,10.7,8,0
13.1,63,5.4,0,91,129.5,692.6,7,9,0
22.8,40,4,0,92.5,88,698.6,7.1,9,0
17.8,51,7.2,0,92.5,88,698.6,7.1,9,0
19.3,38,4,0,92.8,73.2,713,22.6,9,0
17,72,6.7,0,63.5,70.8,665.3,0.8,8,0
21.3,42,2.2,0,90.9,126.5,686.5,7,9,0
26.4,21,4.5,0,92.9,133.3,699.6,9.2,9,0
22.9,44,5.4,0,93.3,141.2,713.9,13.9,9,0
15.1,27,5.4,0,91.7,35.8,80.8,7.8,3,0
16.7,47,4.9,0,84.9,32.8,664.2,3,10,0
15.9,35,4,0,89.2,27.9,70.8,6.3,3,0
9.3,44,4.5,0,86.3,27.4,97.1,5.1,4,0
18.3,40,2.7,0,91,129.5,692.6,7,9,0
19.1,38,2.7,0,91.8,78.5,724.3,9.2,9,0
21,44,4.5,0,94.3,96.3,200,56.1,6,0
19.5,43,5.8,0,90.2,110.9,537.4,6.2,8,0
23.7,32,5.8,0,93.5,139.4,594.2,20.3,8,0
16.3,60,5.4,0,91.4,142.4,601.4,10.6,8,0
19,34,5.8,0,92.4,117.9,668,12.2,9,0
19.4,48,1.3,0,90.9,126.5,686.5,7,9,0
30.2,24,2.7,0,93.4,145.4,721.4,8.1,9,0
22.8,39,3.6,0,93.5,149.3,728.6,8.1,9,0
25.4,24,3.6,0,94.3,85.1,692.3,15.9,9,0
11.2,78,7.6,0,88.6,91.8,709.9,7.1,9,0
20.6,37,1.8,0,88.6,69.7,706.8,5.8,9,0
17.7,39,3.6,0,91.7,75.6,718.3,7.8,9,0
21.2,32,2.7,0,91.8,78.5,724.3,9.2,9,0
18.2,62,4.5,0,90.3,80.7,730.2,6.3,9,0
21.7,24,4.5,0,90.6,35.4,669.1,6.7,10,0
11.3,60,5.4,0,90,41.5,682.6,8.7,10,0
17.8,27,4,0,90.6,43.7,686.9,6.7,10,0
14.1,43,2.7,0,88.1,25.7,67.6,3.8,3,0
23.3,37,3.1,0,79.5,60.6,366.7,1.5,7,0
18.4,42,6.7,0,90.2,96.9,624.2,8.9,8,0
16.6,54,5.4,0,94.8,108.3,647.1,17,8,0
19.6,48,2.7,0,92.5,88,698.6,7.1,9,0
12.9,74,4.9,0,90.1,82.9,735.7,6.2,9,0
25.9,24,4,0,94.3,85.1,692.3,15.9,9,0
14.7,70,3.6,0,90.9,126.5,686.5,7,9,0
23,36,3.1,0,94.2,62.3,442.9,11,7,0
11.8,35,1.8,0,87.2,23.9,64.7,4.1,3,0
11,46,5.8,0,87.6,52.2,103.8,5,3,0
20.8,17,1.3,0,92.9,137,706.4,9.2,9,0
21.5,34,2.2,0,90.2,99.6,631.2,6.3,8,0
20.4,42,4.9,0,92.1,111.2,654.1,9.6,8,0
20.4,42,4.9,0,92.1,111.2,654.1,9.6,8,0
17.6,45,3.6,0,91.7,114.3,661.3,6.3,8,0
27.7,24,2.2,0,92.9,137,706.4,9.2,9,0
17.8,63,4.9,0,90.3,80.7,730.2,6.3,9,0
13.8,50,2.7,0,92.6,46.5,691.8,8.8,10,0
13.9,40,5.4,0,84,9.3,34,2.1,2,0
12.3,51,0.9,0,86.6,13.2,43,5.3,2,0
11.5,39,5.8,0,89.3,51.3,102.2,9.6,3,0
5.5,59,6.3,0,89.3,51.3,102.2,9.6,3,0
18.8,35,4.9,0,93,75.3,466.6,7.7,8,0
20.8,33,2.7,0,90.2,99.6,631.2,6.3,8,0
23.1,31,3.1,0,91.1,103.2,638.8,5.8,8,0
18.6,44,4.5,0,91.7,114.3,661.3,6.3,8,0
23,37,4.5,0,92.4,117.9,668,12.2,9,0
19.6,33,5.4,0,92.4,117.9,668,12.2,9,0
19.6,33,6.3,0,92.4,117.9,668,12.2,9,0
17.2,26,4.5,0,91.7,33.3,77.5,9,3,0
15.8,27,7.6,0,91.2,48.3,97.8,12.5,3,0
17.7,37,3.6,0,94.3,85.1,692.3,15.9,9,0
15.6,25,6.3,0,91.7,33.3,77.5,9,3,0
17.3,43,4.5,0,88.8,147.3,614.5,9,8,0
27.6,30,1.3,0,93.3,141.2,713.9,13.9,9,0
6.7,79,3.1,0,84.2,6.8,26.6,7.7,2,0
15.7,43,3.1,0,86.6,13.2,43,5.3,2,0
8.3,72,3.1,0,87.6,52.2,103.8,5,3,0
14.7,66,2.7,0,90.1,108,529.8,12.5,8,0
21.6,19,6.7,0,91,121.2,561.6,7,8,0
19.5,39,6.3,0,91.4,142.4,601.4,10.6,8,0
17.9,44,2.2,0,90.2,99.6,631.2,6.3,8,0
18.6,51,4.5,0,94.8,108.3,647.1,17,8,0
16.6,47,0.9,0,92.1,111.2,654.1,9.6,8,0
20.2,45,3.6,0,91.7,114.3,661.3,6.3,8,0
21.5,15,0.9,0,92.9,137,706.4,9.2,9,0
25.4,27,2.2,0,92.9,137,706.4,9.2,9,0
22.4,34,2.2,0,92.9,137,706.4,9.2,9,0
25.3,36,3.6,0,93.5,149.3,728.6,8.1,9,0
17.4,25,4.9,0,91.7,35.8,80.8,7.8,3,0
14.7,59,5.8,0,90.2,96.9,624.2,8.9,8,0
17.4,24,5.4,0,91.7,35.8,80.8,7.8,3,0
20.8,32,6.3,0,92.3,85.3,488,14.7,8,0
18.2,43,4.9,0,91.4,142.4,601.4,10.6,8,0
23.4,22,2.7,0,91.1,103.2,638.8,5.8,8,0
17.8,64,1.3,0,89.7,90,704.4,4.8,9,0
12.7,48,1.8,0,83.9,8,30.2,2.6,2,0
17.4,24,5.4,0,69,2.4,15.5,0.7,3,0
11.6,87,4.5,0,91.4,142.4,601.4,10.6,8,0
19.8,39,5.4,0,91.4,142.4,601.4,10.6,8,0
19.8,39,5.4,0,91.4,142.4,601.4,10.6,8,0
14.4,66,5.4,0,88.8,147.3,614.5,9,8,0
20.1,40,4,0,94.8,108.3,647.1,17,8,0
24.1,29,4.5,0,92.5,121.1,674.4,8.6,9,0
5.3,78,3.1,0,82.1,3.7,9.3,2.9,1,0
12.7,52,6.3,0,85.9,19.5,57.3,2.8,3,0
18.2,29,3.1,0,91.4,30.7,74.3,7.5,3,0
21.4,33,3.1,0,90.2,99.6,631.2,6.3,8,0
20.3,45,3.1,0,92.5,88,698.6,7.1,9,0
17.4,56,5.4,0,88.6,91.8,709.9,7.1,9,0
13.7,43,5.8,0,85.9,19.5,57.3,2.8,3,0
18.8,18,4.5,0,91.7,33.3,77.5,9,3,0
22.8,39,3.6,0,89.7,90,704.4,4.8,9,0
18.9,35,2.7,0,91.8,78.5,724.3,9.2,9,0
15.8,27,7.6,0,88.1,25.7,67.6,3.8,3,0
15.5,27,6.3,0,88.1,25.7,67.6,3.8,3,0
11.6,30,6.3,0,91.7,35.8,80.8,7.8,3,0
15.2,27,4.9,0,91.7,35.8,80.8,7.8,3,0
10.6,30,4,0,90.1,39.7,86.6,6.2,3,0
19.6,36,3.1,0,93,75.3,466.6,7.7,8,0
10.3,74,2.2,0,91.5,145.4,608.2,10.7,8,0
17.1,43,5.4,0,91.5,145.4,608.2,10.7,8,0
22.5,42,5.4,0,92.4,124.1,680.7,8.5,9,0
17.9,45,3.1,0,84.4,73.4,671.9,3.2,9,0
19.8,50,5.4,0,94.3,85.1,692.3,15.9,9,0
20.6,24,5.4,0,92.6,46.5,691.8,8.8,10,0
9,49,2.2,0,87.6,52.2,103.8,5,3,0
17.2,43,3.1,0,93.5,149.3,728.6,8.1,9,0
15.9,46,3.6,0,91.4,37.9,673.8,5.2,10,0
15.4,35,0.9,0,92.6,46.5,691.8,8.8,10,0
15.4,40,2.7,0,68.2,21.5,87.2,0.8,2,0
14,39,3.1,0,87.2,23.9,64.7,4.1,3,0
10.6,46,4.9,0,89.3,51.3,102.2,9.6,3,0
17.6,42,3.1,0,93.7,80.9,685.2,17.9,9,0
14.9,38,2.7,0,88.1,25.7,67.6,3.8,3,0
17.6,52,5.8,0,93.5,139.4,594.2,20.3,8,0
17.2,58,1.3,0,92.4,124.1,680.7,8.5,9,0
15.6,66,3.1,0,90.9,126.5,686.5,7,9,0
18,42,2.7,0,85.8,48.3,313.4,3.9,7,1
21.7,38,2.2,0,91,129.5,692.6,7,9,1
21.9,39,1.8,0,90.9,126.5,686.5,7,9,1
23.3,31,4.5,0,95.5,99.9,513.3,13.2,8,1
21.2,51,8.9,0,90.1,108,529.8,12.5,8,1
16.6,53,5.4,0,90,51.3,296.3,8.7,7,1
23.8,32,5.4,0,95.5,99.9,513.3,13.2,8,1
27.4,22,4,0,95.2,131.7,578.8,10.4,8,1
13.2,40,5.4,0,90.1,39.7,86.6,6.2,3,1
24.2,28,3.6,0,84.4,73.4,671.9,3.2,9,1
17.4,43,6.7,0,94.8,108.3,647.1,17,8,1
23.7,25,4.5,0,93.7,80.9,685.2,17.9,9,1
23.2,39,5.4,0,92.5,56.4,433.3,7.1,6,1
24.8,29,2.2,0,90.1,68.6,355.2,7.2,7,1
24.6,43,1.8,0,90.1,51.2,424.1,6.2,7,1
20.1,47,4.9,0,94.3,85.1,692.3,15.9,9,1
